"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","TIPUTENZA2","Tipologia di utenza","SEXISTAT1","Sesso","ISO","Nazionalità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITG","Isole","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2014","2014",13,,
"ITG","Isole","USERS","utenti del 1522","OPERATORS","da operatori","F","femmine","NRP","Non Indicato","2013","2013",2,,
"ITG","Isole","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","F","femmine","NRP","Non Indicato","2013","2013",1,,
"ITG","Isole","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",3,,
"ITG","Isole","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","F","femmine","NRP","Non Indicato","2014","2014",1,,
"ITG","Isole","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2013","2013",67,,
"ITG","Isole","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2014","2014",12,,
"ITG","Isole","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2013","2013",117,,
"ITG","Isole","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2014","2014",18,,
"ITG","Isole","USERS","utenti del 1522","OPERATORS","da operatori","T","totale","NRP","Non Indicato","2013","2013",6,,
"ITG","Isole","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","T","totale","NRP","Non Indicato","2013","2013",2,,
"ITG","Isole","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","T","totale","NRP","Non Indicato","2013","2013",3,,
"ITG","Isole","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","T","totale","NRP","Non Indicato","2014","2014",1,,
"ITG","Isole","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2013","2013",106,,
